Nombre_Articulo,Temperatura,Peso_Bruto,Volumen,Cantidad,Precio_unitario,Precio_descontado,Total_Linea_Soles
PD CANINE R.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.01541,2,109.69,87.75,175.5
PD CANINE W.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.015876,4,96.12,76.9,307.58
PD CANINE METABOLIC 17.6 LB .8 K.,Hasta 30 grados,7.9,0.0215,1,214.78,171.82,171.82
SD CANINE ADULT SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,2.05,0.01131,2,58.57,46.86,93.71
PD CANINE I.D 17.6 LB .8 K.,Hasta 30 grados,8.12,0.022,1,201.31,140.92,140.92
SD FELINE ADULT INDOOR 3.5 LB .1.6 K.,Hasta 30 grados,1.58,0.00435,6,66.38,53.1,318.62
SD FELINE ADULT HAIRBALL CONTROL 3.5 LB .1.6 K.,Hasta 30 grados,1.58,0.00435,6,65.41,52.33,313.97
PD CANINE I.D LOW FAT 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.00777,8,119.81,95.85,766.78
SD PUPPY SMB 15.5 LB .7 K.,Hasta 30 grados,7.03,0.0182,1,158,126.4,126.4
SD CANINE ADULT SMB 5 LB .2.27 K.,Hasta 30 grados,2.26,0.006,2,60.52,48.42,96.83
SD CANINE 7 . ACTIVE LONGEVITY SMB 5 LB .2.25 K.,Hasta 30 grados,2.26,0.006,2,60.52,48.42,96.83
SD CANINE ADULT SMB 17.5 LB .8 K.,Hasta 30 grados,7.94,0.0203,2,143.64,114.91,229.82
SD CANINE 7 . ACTIVE LONGEVITY SMB 17.5 LB .8 K.,Hasta 30 grados,7.94,0.02,4,148.43,118.74,474.98
SD FELINE ADULT INDOOR 3.5 LB .1.6 K.,Hasta 30 grados,1.58,0.00435,4,66.38,53.1,212.42
PD FELINE K.D DRY 4 LB .1.8 K.,Hasta 30 grados,1.81,0.00425,1,80.06,64.05,64.05
PD CANINE J.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.012,1,131.8,105.44,105.44
PD CANINE K.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.0099,2,109.69,87.75,175.5
PD CANINE K.D DRY 17.6 LB .8 K.,Hasta 30 grados,7.9,0.0215,1,217.3,173.84,173.84
PD CANINE R.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.01541,2,109.69,87.75,175.5
PD CANINE W.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.015876,3,96.12,76.9,230.69
PD FELINE METABOLIC 4 LB .1.8 K.,Hasta 30 grados,1.8,0.00546,1,82.98,66.38,66.38
PD CANINE METABOLIC 17.6 LB .8 K.,Hasta 30 grados,7.9,0.0215,1,214.78,171.82,171.82
SD CANINE ADULT SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,2.05,0.01131,2,58.57,46.86,93.71
